# radius (m), temperature (K)
7.024381911530641082e+04 2.009740696051904251e+03 1.613862132692479491e+08 1.374328821914492238e-01
7.064293172391610278e+04 2.009832453812483209e+03 1.610012647138770223e+08 1.382137508402642712e-01
7.104204433252579474e+04 2.009924636476876913e+03 1.606141373349322081e+08 1.389946194890792908e-01
7.144115694113548670e+04 2.010017242974996179e+03 1.602248311570677757e+08 1.397754881378943381e-01
7.184026954974519322e+04 2.010110272236751143e+03 1.598333462049382031e+08 1.405563567867094132e-01
7.223938215835488518e+04 2.010203723192052621e+03 1.594396825031978488e+08 1.413372254355244606e-01
7.263849476696457714e+04 2.010297594770811202e+03 1.590438400765011013e+08 1.421180940843395080e-01
7.303760737557426910e+04 2.010391885902937474e+03 1.586458189495023787e+08 1.428989627331545553e-01
7.343671998418397561e+04 2.010486595518342028e+03 1.582456191468560100e+08 1.436798313819696304e-01
7.383583259279366757e+04 2.010581722546935453e+03 1.578432406932164431e+08 1.444607000307846778e-01
7.423494520140335953e+04 2.010677265918628336e+03 1.574386836132380664e+08 1.452415686795997252e-01
7.463405781001305149e+04 2.010773224563331041e+03 1.570319479315752387e+08 1.460224373284147725e-01
7.503317041862275801e+04 2.010869597410954611e+03 1.566230336728823185e+08 1.468033059772298476e-01
7.543228302723244997e+04 2.010966383391409181e+03 1.562119408618137836e+08 1.475841746260448950e-01
7.583139563584214193e+04 2.011063581434605567e+03 1.557986695230239630e+08 1.483650432748599424e-01
7.623050824445183389e+04 2.011161190470454130e+03 1.553832196811672449e+08 1.491459119236749897e-01
7.662962085306152585e+04 2.011259209428865915e+03 1.549655913608980477e+08 1.499267805724900371e-01
7.702873346167123236e+04 2.011357637239751057e+03 1.545457845868707299e+08 1.507076492213050845e-01
7.742784607028092432e+04 2.011456472833020371e+03 1.541237993837397099e+08 1.514885178701201318e-01
7.782695867889061628e+04 2.011555715138584446e+03 1.536996357761593461e+08 1.522693865189351792e-01
7.822607128750030824e+04 2.011655363086353645e+03 1.532732937887840569e+08 1.530502551677502265e-01
7.862518389611001476e+04 2.011755415606238785e+03 1.528447734462682009e+08 1.538311238165653017e-01
7.902429650471970672e+04 2.011855871628150453e+03 1.524140747732661963e+08 1.546119924653803490e-01
7.942340911332939868e+04 2.011956730081999012e+03 1.519811977944324315e+08 1.553928611141953964e-01
