# radius (m), temperature (K)
1.384973485007803189e+06 4.228679482096709762e+03 3.145476539453488770e+11 4.516006407322596949e+00
1.402285653570400784e+06 4.259224037318062983e+03 3.135246211880207520e+11 4.572456487414130244e+00
1.419597822132998379e+06 4.290102037929736071e+03 3.124908201208367310e+11 4.628906567505662650e+00
1.436909990695595974e+06 4.321312355326515899e+03 3.114462983559746094e+11 4.685356647597195057e+00
1.454222159258193336e+06 4.352853860903189343e+03 3.103911035056122437e+11 4.741806727688727463e+00
1.471534327820790932e+06 4.384725426054545096e+03 3.093252831819273682e+11 4.798256807780259869e+00
1.488846496383388527e+06 4.416925922175367305e+03 3.082488849970977783e+11 4.854706887871792276e+00
1.506158664945986122e+06 4.449454220660445571e+03 3.071619565633013306e+11 4.911156967963324682e+00
1.523470833508583484e+06 4.482309192904564952e+03 3.060645454927158203e+11 4.967607048054857088e+00
1.540783002071181079e+06 4.515489710302513231e+03 3.049566993975190430e+11 5.024057128146389495e+00
1.558095170633778675e+06 4.548994644249078192e+03 3.038384658898887939e+11 5.080507208237921901e+00
1.575407339196376270e+06 4.582822866139044891e+03 3.027098925820028687e+11 5.136957288329455196e+00
1.592719507758973632e+06 4.616973247367201111e+03 3.015710270860391846e+11 5.193407368420986714e+00
1.610031676321571227e+06 4.651444659328333728e+03 3.004219170141753540e+11 5.249857448512519120e+00
1.627343844884168822e+06 4.686235973417230525e+03 2.992626099785893555e+11 5.306307528604052415e+00
1.644656013446766417e+06 4.721346061028677468e+03 2.980931535914589233e+11 5.362757608695584821e+00
1.661968182009364013e+06 4.756773793557461431e+03 2.969135954649617920e+11 5.419207688787117227e+00
1.679280350571961375e+06 4.792518042398369289e+03 2.957239832112759399e+11 5.475657768878649634e+00
1.696592519134558970e+06 4.828577678946188826e+03 2.945243644425790405e+11 5.532107848970182040e+00
1.713904687697156565e+06 4.864951574595706916e+03 2.933147867710488892e+11 5.588557929061714447e+00
1.731216856259754160e+06 4.901638600741709524e+03 2.920952978088633423e+11 5.645008009153246853e+00
1.748529024822351523e+06 4.938637628778984435e+03 2.908659451682002563e+11 5.701458089244779259e+00
1.765841193384949118e+06 4.975947530102318524e+03 2.896267764612373657e+11 5.757908169336311666e+00
1.783153361947546713e+06 5.013567176106498664e+03 2.883778393001524658e+11 5.814358249427844072e+00
1.800465530510144308e+06 5.051495438186311731e+03 2.871191812971233521e+11 5.870808329519377367e+00
1.817777699072741671e+06 5.089731187736542779e+03 2.858508500643278809e+11 5.927258409610908885e+00
1.835089867635339266e+06 5.128273296151983232e+03 2.845728932139438477e+11 5.983708489702441291e+00
1.852402036197936861e+06 5.167120634827415415e+03 2.832853583581490479e+11 6.040158569793974586e+00
1.869714204760534456e+06 5.206272075157628933e+03 2.819882931091212769e+11 6.096608649885506992e+00
1.887026373323131818e+06 5.245726488537409750e+03 2.806817450790383911e+11 6.153058729977038510e+00
1.904338541885729413e+06 5.285482746361545651e+03 2.793657618800781250e+11 6.209508810068571805e+00
1.921650710448327009e+06 5.325539720024822600e+03 2.780403911244183350e+11 6.265958890160104211e+00
1.938962879010924604e+06 5.365896280922028382e+03 2.767056804242368164e+11 6.322408970251636617e+00
1.956275047573522199e+06 5.406551300447948961e+03 2.753616773917113037e+11 6.378859050343169024e+00
1.973587216136119561e+06 5.447503649997371213e+03 2.740084296390197144e+11 6.435309130434701430e+00
1.990899384698717156e+06 5.488752200965083830e+03 2.726459847783397827e+11 6.491759210526233836e+00
2.008211553261314752e+06 5.530295824745871869e+03 2.712743904218493652e+11 6.548209290617766243e+00
2.025523721823912347e+06 5.572133392734523113e+03 2.698936941817261963e+11 6.604659370709299537e+00
2.042835890386509709e+06 5.614263776325824438e+03 2.685039436701481628e+11 6.661109450800831056e+00
2.060148058949107304e+06 5.656685846914562717e+03 2.671051864992930298e+11 6.717559530892363462e+00
2.077460227511704899e+06 5.699398475895524825e+03 2.656974702813385620e+11 6.774009610983896756e+00
